Date,Open,High,Low,Close,Volume
03/11/2020,"138.09","138.75","131.50","131.80","17,768,061"
03/10/2020,"139.97","141.95","134.23","141.64","12,698,070"
03/09/2020,"136.33","139.68","134.90","136.44","13,848,570"
03/06/2020,"138.48","143.01","137.41","142.03","12,239,090"
03/05/2020,"140.80","142.68","139.84","142.01","11,339,190"
03/04/2020,"137.68","143.64","137.14","143.48","10,560,820"
03/03/2020,"140.00","140.99","133.10","135.59","13,662,450"
03/02/2020,"134.78","140.13","134.01","140.02","11,508,230"
02/28/2020,"135.36","137.29","130.82","134.48","19,825,529"
02/27/2020,"142.56","144.77","138.95","139.12","12,566,710"
02/26/2020,"145.35","146.22","143.59","143.68","10,094,400"
02/25/2020,"145.99","146.75","143.83","144.65","10,529,370"
02/24/2020,"146.50","149.00","145.25","145.91","10,589,200"
02/21/2020,"148.09","150.24","147.54","149.93","7,776,835"
02/20/2020,"148.61","149.38","147.40","148.37","7,465,047"
02/19/2020,"149.21","149.76","148.58","148.94","6,115,220"
02/18/2020,"150.47","150.74","149.06","149.14","7,231,010"
02/14/2020,"150.56","150.64","149.15","150.13","5,716,549"
02/13/2020,"150.16","151.05","149.88","150.09","5,480,225"
02/12/2020,"151.87","152.15","150.92","151.09","5,167,069"
02/11/2020,"152.29","152.38","151.54","151.99","3,715,389"
02/10/2020,"151.68","151.91","150.89","151.86","4,836,002"
02/07/2020,"153.34","153.46","151.55","151.89","5,700,295"
02/06/2020,"154.25","154.50","152.74","153.53","6,201,257"
02/05/2020,"151.72","154.02","151.31","153.99","5,980,013"
02/04/2020,"151.49","152.75","151.20","151.60","6,541,584"
02/03/2020,"149.42","150.49","149.24","150.17","5,765,413"
01/31/2020,"149.75","150.00","148.64","148.87","8,651,930"
01/30/2020,"150.03","150.51","149.05","150.36","6,470,584"
01/29/2020,"149.45","151.19","149.13","150.54","6,288,760"
01/28/2020,"148.46","150.57","148.15","149.50","7,336,636"
01/27/2020,"147.52","149.46","147.00","148.75","7,587,103"
01/24/2020,"148.58","148.95","147.93","148.32","9,051,933"
01/23/2020,"148.04","148.77","146.76","148.53","8,671,988"
01/22/2020,"146.70","149.18","146.00","148.25","10,305,330"
01/21/2020,"148.58","150.17","148.50","149.27","9,543,905"
01/17/2020,"148.41","149.41","147.93","149.17","9,083,838"
01/16/2020,"147.42","148.84","146.20","148.20","6,476,379"
01/15/2020,"146.40","147.40","146.24","147.01","4,960,460"
01/14/2020,"145.05","146.61","144.73","146.52","7,038,779"
01/13/2020,"145.48","145.79","144.72","145.70","4,593,819"
01/10/2020,"145.75","146.18","144.90","145.06","5,042,668"
01/09/2020,"145.76","146.03","144.99","145.39","6,112,783"
01/08/2020,"144.87","145.98","143.70","144.96","6,605,775"
01/07/2020,"144.01","145.45","141.38","144.98","7,389,034"
01/06/2020,"144.00","144.20","142.85","144.10","7,731,435"
01/03/2020,"143.50","145.37","143.00","144.28","5,753,422"
01/02/2020,"145.87","146.02","145.08","145.97","5,634,469"
12/31/2019,"145.10","146.01","144.78","145.87","4,435,105"
12/30/2019,"145.78","146.20","145.03","145.30","2,923,859"
12/27/2019,"146.20","146.55","145.54","145.75","3,432,686"
