Date,Open,High,Low,Close,Volume,Stock Name,id
4/24/20,213.76,216.5,212.1,214.55,1521031,LULU,112
4/23/20,212.39,216.72,210.42,211.64,1102585,LULU,113
4/22/20,210.91,214.22,210.01,212.09,1350531,LULU,114
4/21/20,215.0,216.55,206.5,206.72,2145157,LULU,115
4/20/20,222.79,224.51,216.79,218.59,2086396,LULU,116
4/17/20,215.25,226.42,213.52,225.86,3555221,LULU,117
4/16/20,210.0,214.43,207.68,209.19,2187037,LULU,118
4/15/20,200.2,208.5,199.6,207.95,1888859,LULU,119
4/14/20,203.72,206.77,201.58,205.18,1842423,LULU,120
4/13/20,202.76,203.44,197.66,199.27,1008804,LULU,121
4/9/20,199.64,206.0,198.48,203.51,1898353,LULU,122
4/8/20,196.8,200.5,194.33,196.01,1243327,LULU,123
4/7/20,202.48,203.44,194.7,194.92,2228471,LULU,124
4/6/20,188.22,195.7,185.75,194.95,2451770,LULU,125
4/3/20,184.71,184.77,179.1,181.25,2208530,LULU,126
4/2/20,182.0,185.5,177.77,185.49,2311307,LULU,127
4/1/20,181.53,187.28,181.53,183.5,1767758,LULU,128
3/31/20,193.03,194.2,188.19,189.55,2029234,LULU,129
3/30/20,188.5,196.96,183.03,193.94,2197773,LULU,130
3/27/20,192.5,195.55,184.06,188.84,3572149,LULU,131
3/26/20,197.05,202.84,189.05,200.8,4135619,LULU,132
3/25/20,195.5,202.86,192.43,193.62,3336430,LULU,133
3/24/20,183.25,194.9,180.1,192.74,2912891,LULU,134
3/23/20,165.55,180.36,165.05,172.3,4267466,LULU,135
3/20/20,163.51,182.53,162.6,165.01,5337995,LULU,136
3/19/20,136.33,162.78,136.33,154.86,2989605,LULU,137
3/18/20,135.12,140.64,128.85,140.36,3809564,LULU,138
3/17/20,141.7,156.8,136.09,144.88,3764726,LULU,139
3/16/20,155.49,155.89,138.29,138.98,4568155,LULU,140
3/13/20,175.9,176.79,162.32,176.75,2933296,LULU,141
3/12/20,179.45,180.33,167.33,169.13,3906790,LULU,142
3/11/20,199.39,201.49,191.39,193.74,2116125,LULU,143
3/10/20,206.37,206.99,197.11,204.12,2273975,LULU,144
3/9/20,202.0,208.33,194.24,199.77,2292465,LULU,145
3/6/20,213.26,223.35,212.24,218.55,2494816,LULU,146
3/5/20,225.4,227.38,216.15,221.19,2005034,LULU,147
3/4/20,231.51,232.88,221.24,231.62,1723700,LULU,148
3/3/20,228.87,235.42,225.96,227.13,3570747,LULU,149
3/2/20,219.19,229.21,216.49,228.9,2333880,LULU,150
2/28/20,210.0,217.7,208.9,217.41,3748400,LULU,151
2/27/20,230.44,232.48,220.21,220.7,2834887,LULU,152
2/26/20,239.15,244.13,237.04,238.56,1219290,LULU,153
2/25/20,248.38,250.45,237.05,238.81,1550902,LULU,154
2/24/20,245.39,247.87,235.69,246.21,1874983,LULU,155
2/21/20,263.0,265.1,253.8,255.9,1588000,LULU,156
2/20/20,262.93,266.2,258.75,263.68,1518458,LULU,157
2/19/20,261.0,263.5,259.81,262.51,907970,LULU,158
2/18/20,254.01,259.74,253.66,259.23,1273919,LULU,159
2/14/20,254.68,256.0,253.15,254.41,950970,LULU,160
2/13/20,253.41,256.8,252.37,253.86,905256,LULU,161
2/12/20,252.11,254.16,250.78,253.94,658191,LULU,162
2/11/20,249.34,252.39,248.34,251.58,1015053,LULU,163
2/10/20,244.02,249.74,244.02,248.54,1192235,LULU,164
2/7/20,243.77,246.89,242.17,243.51,1087615,LULU,165
2/6/20,244.35,244.53,242.79,243.78,1155913,LULU,166
2/5/20,249.15,249.71,243.56,243.9,1518920,LULU,167
2/4/20,249.85,250.1,247.66,247.99,1354876,LULU,168
2/3/20,240.18,247.7,240.18,246.37,1792231,LULU,169
1/31/20,243.48,243.58,239.3,239.39,1391572,LULU,170
1/30/20,241.84,244.0,240.9,243.77,770997,LULU,171
