Date,Open,High,Low,Close,Volume
7/13/20,164.61,167,161.04,162.08,3455741
7/10/20,166.14,166.14,162.74,163.36,2245221
7/9/20,169.88,170.75,163.71,166.45,2955246
7/8/20,166.84,169.82,166.84,169.13,2782025
7/7/20,166.12,168.38,165.27,166.75,3273315
7/6/20,164.46,168.92,164.01,166.89,2760124
7/2/20,164.07,164.77,162.37,163.87,1960202
7/1/20,164.32,165.47,162.52,163.3,2065209
6/30/20,163.11,165.17,162.3,164.18,3296344
6/29/20,163.85,164.21,161.03,162.72,2640297
6/26/20,162.33,163.79,160.18,162.83,5290721
6/25/20,157.64,163.39,156.71,162.86,3735845
6/24/20,158.55,159.79,156.33,157.03,3095967
6/23/20,160.89,162.87,158.95,159.34,2771597
6/22/20,159.18,161.48,158.92,160.45,2647611
6/19/20,162.23,162.48,158.26,159.94,6004898
6/18/20,159.2,162.97,158.2,161.07,3631610
6/17/20,164.23,164.36,159.4,159.97,4711157
6/16/20,156.32,167.43,155,163.71,15029910
6/15/20,142,142.9,139.68,141.52,3710714
6/12/20,145.54,146.38,141.47,143.54,3973250
6/11/20,151.85,152.24,143.05,144.08,4547384
6/10/20,149.96,152.4,149.84,151,4940240
6/9/20,149.75,151.75,149.11,149.13,4302321
6/8/20,146.75,149.25,146.52,149.21,4076682
6/5/20,149.7,151.76,148.34,149.21,4579125
6/4/20,152.21,153.54,149.71,150.71,3328760
6/3/20,153.34,154.39,150.85,152.53,3190321
6/2/20,152.08,154.08,151.04,153.86,3269734
6/1/20,154.47,154.99,150.89,152.45,5235562
5/29/20,151.66,153.64,149.94,152.95,9466743
5/28/20,147.43,152.1,146.51,150.65,3983510
5/27/20,148.17,148.17,143.62,145.7,5376334
5/26/20,151.11,151.76,147.16,147.96,5013422
5/22/20,152.22,152.56,150.17,151.16,2354972
5/21/20,153.15,153.15,149.72,152.28,3049756
5/20/20,155.27,157.43,151.61,153.13,3780795
5/19/20,156.85,159.13,155.28,156.7,2339430
5/18/20,161.34,162.37,157.11,157.96,2703730
