Date,Open,High,Low,Close,Volume
07/13/2020,"162.55","167.21","153.42","155.20","154,408,398"
07/10/2020,"159.59","160.75","156.79","160.00","109,719,638"
07/09/2020,"155.80","159.69","153.70","159.13","127,773,178"
07/08/2020,"151.13","154.20","150.62","154.06","100,752,699"
07/07/2020,"152.93","153.48","149.50","150.01","105,150,279"
07/06/2020,"146.75","152.99","146.50","152.85","137,612,838"
07/02/2020,"145.60","147.78","143.56","144.52","131,867,738"
07/01/2020,"137.90","144.75","137.70","143.94","127,268,778"
06/30/2020,"134.25","138.48","133.75","137.94","75,393,719"
06/29/2020,"134.50","134.84","131.50","134.02","84,468,439"
06/26/2020,"138.75","139.13","134.40","134.64","130,015,678"
06/25/2020,"136.98","137.81","135.61","137.73","59,373,139"
06/24/2020,"139.00","139.80","136.05","136.72","90,532,099"
06/23/2020,"136.30","139.16","135.90","138.22","84,634,139"
06/22/2020,"134.23","135.75","133.45","135.69","64,175,599"
06/19/2020,"133.90","134.87","132.95","133.75","115,539,258"
06/18/2020,"132.35","132.98","131.81","132.70","49,755,479"
06/17/2020,"132.38","132.75","131.59","132.05","59,186,319"
06/16/2020,"131.00","131.00","128.80","130.76","71,912,979"
06/15/2020,"126.33","129.20","125.40","128.63","77,466,699"
06/12/2020,"130.06","131.07","125.17","127.25","108,722,538"
06/11/2020,"130.18","133.57","126.81","127.90","116,002,138"
06/10/2020,"132.25","136.12","131.31","132.37","98,920,619"
06/09/2020,"126.47","131.32","126.25","130.04","103,518,999"
06/08/2020,"125.01","126.50","124.37","126.20","79,413,079"
06/05/2020,"122.23","124.43","121.86","124.15","66,128,899"
06/04/2020,"123.87","125.38","122.50","123.03","58,974,199"
06/03/2020,"123.40","124.40","123.06","123.92","53,420,479"
06/02/2020,"123.35","123.68","122.27","123.62","50,598,059"
06/01/2020,"122.40","123.85","122.21","123.55","58,760,639"
05/29/2020,"120.80","122.12","119.91","122.12","70,586,579"
05/28/2020,"119.22","121.85","118.91","120.06","63,862,719"
05/27/2020,"120.25","120.68","116.50","120.52","101,138,899"
05/26/2020,"122.90","123.10","120.70","121.09","71,363,059"
05/22/2020,"122.75","123.49","121.51","121.84","57,341,579"
05/21/2020,"125.00","126.27","122.13","122.34","102,288,059"
05/20/2020,"123.89","125.00","123.36","124.90","79,962,859"
05/19/2020,"121.49","124.25","121.45","122.47","86,409,959"
05/18/2020,"120.22","121.65","119.20","121.31","87,331,439"
05/15/2020,"118.43","120.55","117.82","120.49","84,699,019"
05/14/2020,"118.05","119.57","117.66","119.44","72,962,559"
05/13/2020,"118.34","120.39","116.89","118.40","95,658,379"
05/12/2020,"120.59","120.95","117.75","117.85","61,498,319"
05/11/2020,"118.74","120.98","118.61","120.45","65,184,619"
05/08/2020,"118.61","119.36","117.85","118.98","64,224,559"
05/07/2020,"118.74","118.80","117.16","118.38","67,928,219"
05/06/2020,"116.47","117.87","116.00","117.56","62,356,279"
05/05/2020,"117.00","117.55","115.36","115.89","64,849,919"
05/04/2020,"112.82","116.35","112.82","115.80","97,318,519"
05/01/2020,"116.84","118.12","112.91","114.30","195,452,097"
04/30/2020,"120.99","123.75","119.80","123.70","190,692,217"
04/29/2020,"116.50","119.59","115.50","118.64","91,831,859"
04/28/2020,"118.61","118.68","115.30","115.70","105,388,919"
04/27/2020,"122.16","122.24","118.15","118.80","112,912,898"
04/24/2020,"120.85","121.02","119.10","120.51","76,635,939"
04/23/2020,"120.00","121.21","119.10","119.97","101,331,039"
04/22/2020,"118.45","119.70","117.55","118.17","84,365,899"
04/21/2020,"120.83","121.42","113.98","116.41","149,533,598"
04/20/2020,"119.50","122.25","119.30","119.68","115,413,878"
04/17/2020,"118.62","120.00","115.80","118.75","158,600,178"
04/16/2020,"117.30","123.05","116.75","120.41","240,763,997"
04/15/2020,"112.88","116.67","112.25","115.38","137,331,338"
04/14/2020,"110.02","114.60","109.31","114.17","161,743,858"
04/13/2020,"102.00","109.00","101.90","108.44","134,334,178"
04/09/2020,"102.22","102.65","100.88","102.14","93,112,339"
04/08/2020,"101.05","102.20","100.56","102.15","79,546,259"
04/07/2020,"100.86","101.79","99.88","100.58","102,279,659"
04/06/2020,"96.80","99.93","96.50","99.88","114,461,198"
04/03/2020,"95.56","96.32","94.46","95.33","72,197,399"
04/02/2020,"95.08","96.38","94.50","95.94","86,719,699"
04/01/2020,"96.65","97.25","94.65","95.39","82,437,499"
03/31/2020,"98.22","99.65","97.20","97.49","102,472,519"
03/30/2020,"96.14","98.68","95.62","98.20","122,521,738"
03/27/2020,"96.54","96.99","95.00","95.01","107,757,938"
03/26/2020,"95.10","97.82","94.46","97.77","124,702,358"
03/25/2020,"96.03","97.51","94.29","94.29","129,581,458"
03/24/2020,"97.57","97.75","95.02","97.01","142,941,598"
03/23/2020,"91.39","95.97","90.60","95.14","156,169,778"
03/20/2020,"96.32","97.85","91.04","92.30","196,356,997"
03/19/2020,"93.00","97.25","91.63","94.05","207,998,797"
03/18/2020,"87.50","92.08","87.25","91.50","192,904,357"
03/17/2020,"88.77","92.89","84.46","90.39","218,342,597"
03/16/2020,"82.08","87.97","81.30","84.46","178,345,298"
03/13/2020,"87.75","89.32","84.03","89.25","176,194,498"
03/12/2020,"86.10","88.25","83.75","83.83","226,924,197"
03/11/2020,"92.89","93.57","90.08","91.04","112,936,618"
03/10/2020,"93.54","94.71","90.91","94.59","142,666,198"
03/09/2020,"88.69","93.14","88.06","90.03","156,264,638"
03/06/2020,"93.75","95.54","93.48","95.05","105,471,599"
03/05/2020,"96.65","98.04","95.50","96.20","94,964,199"
03/04/2020,"97.33","98.90","96.10","98.79","95,458,379"
03/03/2020,"98.77","99.82","94.40","95.45","150,689,838"
03/02/2020,"95.32","97.73","93.50","97.70","135,233,018"
02/28/2020,"90.73","94.49","90.56","94.19","189,875,937"
