Date,Open,High,Low,Close,Volume
7/24/20,74.95,75.88,74.42,75.59,30888080
7/23/20,78.35,78.59,75.37,75.78,32552680
7/22/20,78.03,78.5,77.31,78.42,18639700
7/21/20,79.35,79.35,77.71,77.92,24372900
7/20/20,75.76,78.51,75.18,78.29,31145040
7/17/20,76.08,76.17,74.92,75.78,29140200
7/16/20,75,75.93,74.32,75.9,30386900
7/15/20,76.16,76.77,74.9,75.68,32213680
7/14/20,74.52,76.15,74.18,76.03,31700320
7/13/20,77.5,78.86,75.26,75.57,36928480
7/10/20,75.31,77.19,74.83,77.09,37134080
7/9/20,75.32,76.14,74.4,75.55,28466440
7/8/20,74.72,75.29,74.28,74.8,24993160
7/7/20,74.5,75.84,74.18,74.26,29163440
7/6/20,74,75.33,73.64,74.79,31279940
7/2/20,72.35,74.15,72.32,73.24,37189600
7/1/20,70.56,72.15,70.49,71.9,35503340
6/30/20,69.52,70.93,69.2,70.68,40847620
6/29/20,67.91,69.78,67.35,69.75,36203600
6/26/20,71.57,71.67,67.6,68,85353960
6/25/20,71.5,72.15,71,72.07,24609480
6/24/20,73.08,73.77,71.49,71.6,35120440
6/23/20,72.78,73.8,72.26,73.22,28595280
6/22/20,71.45,72.64,71.16,72.59,30848800
6/19/20,72.2,72.39,71.07,71.59,63157500
6/18/20,72.46,72.57,71.35,71.8,31638320
6/17/20,72.36,73,71.57,72.56,30992300
6/16/20,72.26,72.75,71.3,72.14,34232280
6/15/20,69.54,71.24,69.4,70.99,30121920
6/12/20,71.42,71.85,69.3,70.66,38927340
6/11/20,72.12,72.72,70.1,70.19,39826640
6/10/20,72.98,73.71,72.81,73.29,30503060
6/9/20,72.27,73.4,72.16,72.81,28184980
6/8/20,71.12,72.4,71.12,72.33,28083560
6/5/20,70.66,72.25,70.3,71.92,34704880
6/4/20,71.52,71.95,70.24,70.61,29685440
6/3/20,71.92,72.33,71.49,71.82,25123720
6/2/20,71.53,71.98,70.94,71.96,25562560
6/1/20,70.92,71.9,70.9,71.59,24342800
5/29/20,70.85,71.63,70.67,71.45,36761180
5/28/20,69.84,72.04,69.8,70.84,33879520
5/27/20,70.86,71.09,69.56,70.89,33722840
5/26/20,71.86,72.05,70.61,70.85,41212860
5/22/20,69.84,70.64,69.59,70.52,26188160
5/21/20,70.4,70.77,69.67,70.14,27703880
5/20/20,69.48,70.52,69.36,70.34,33107500
5/19/20,69.35,69.6,68.67,68.67,25612980
5/18/20,68.09,69.62,67.71,69.2,36479280
5/15/20,67.5,68.72,66.95,68.66,34154940
5/14/20,66.75,67.87,66.2,67.81,32061540
5/13/20,68.85,69.27,66.42,67.47,36251700
5/12/20,70.36,70.75,68.74,68.79,27812000
5/11/20,68.91,70.83,68.86,70.16,28242320
5/8/20,69.16,69.94,68.77,69.42,27761360
5/7/20,68.3,68.88,67.76,68.63,27995180
5/6/20,68.08,68.56,67.36,67.37,24308460
5/5/20,66.9,68.7,66.87,67.56,33030660
5/4/20,65.41,66.38,64.95,66.34,30080340
5/1/20,66.43,67.6,65.55,66.03,41452780
4/30/20,66.24,67.64,66.12,67.43,53378120
4/29/20,67.07,68,66.27,67.07,75872480
4/28/20,64.4,64.4,61.61,61.68,59026180
4/27/20,64.8,64.81,63.45,63.79,32011260
4/24/20,63.06,64.02,62.47,63.97,32807880
4/23/20,63.58,64.67,63.28,63.82,31324060
4/22/20,62.28,64.28,62.1,63.16,41862800
4/21/20,62.35,62.71,60.49,60.82,43060060
4/20/20,63.55,64.08,63.07,63.33,33909760
4/17/20,64.24,64.72,63.56,64.16,38980840
4/16/20,63.71,63.95,62.13,63.17,50361980
4/15/20,62.28,64.02,62.02,63.12,33434060
4/14/20,62.25,64.1,61.85,63.46,49407060
4/13/20,60.46,61.03,59.38,60.88,34796560
